distance,altitude,percent
1200,0,38.8
1100,0,31.5
1100,100,5.9
1150,0,18.5
1150,200,33.3
1150,100,12.8
1000,200,50
1000,0,59.1
1000,100,58.3
1050,0,38.7
900,0,38.1
900,100,29.5
900,300,9
900,200,17.4
950,0,46.1
900,400,3.6
900,500,6.7
950,100,13
950,200,1.9
850,100,60.8
850,0,66.5
800,0,74.6
800,100,62.1
800,200,57
850,200,40
850,400,5.5
850,300,15.5
800,300,39.9
800,500,14.4
800,400,26
800,800,3.2
850,500,2.7
800,600,4.8
800,700,2.1
800,1000,16.7
750,0,64.9
750,100,60.6
700,0,71.5
700,100,65.1
750,200,45.3
700,200,56.6
700,300,39.1
750,300,36.3
700,400,23.6
700,600,12.4
750,400,18.4
700,500,24.3
750,600,10
700,700,17.4
750,500,17
700,800,100
750,700,5.2
650,0,80
600,0,74.8
600,100,74.6
650,100,72
650,200,65.8
650,300,56
600,200,62.4
600,300,49.6
650,400,36.5
600,500,45.7
600,400,41.7
600,600,38.5
600,700,33.3
550,0,73.4
500,0,85.2
550,100,65.9
500,100,97.8
550,200,60.1
550,300,46.6
550,400,44.2
550,500,16
500,200,99.4
500,300,96.9
500,400,85.9
500,500,73.8
500,600,76
500,700,80
450,0,77.6
450,100,93.3
450,300,86.6
450,200,97.3
450,400,78.1
400,0,89.7
450,500,67.2
400,100,98.1
400,200,99.5
400,300,95.1
400,400,71
300,0,97.1
300,100,99.7
350,0,96.7
300,200,92.3
300,300,82.5
350,100,100
350,200,100
350,300,99.6
350,400,74.3
300,500,36.6
300,400,63.9
350,500,50
350,600,54.5
350,700,66.7
300,600,25
200,0,95.6
200,100,96.7
200,200,90
200,300,83.5
200,400,65.7
250,0,99.4
250,100,99.3
250,200,96.3
250,300,88
250,400,64.3
200,500,69.4
250,500,21.4
250,600,50
200,600,72.7
150,0,94.2
100,0,98.6
100,100,99.9
100,200,100
150,100,99.7
100,300,100
100,400,100
150,200,97.4
150,300,76.7
150,400,88.9
0,0,93.8
0,100,100
0,200,100
50,0,96.4
50,100,100
50,200,100
50,300,93.2
50,400,64.4
50,500,25
