taxon,year,count
Adalia bipunctata,1600,1
Adalia bipunctata,1848,2
Adalia bipunctata,1892,1
Adalia bipunctata,1893,1
Adalia bipunctata,1900,1
Adalia bipunctata,1902,2
Adalia bipunctata,1903,1
Adalia bipunctata,1905,7
Adalia bipunctata,1906,1
Adalia bipunctata,1907,3
Adalia bipunctata,1910,1
Adalia bipunctata,1912,1
Adalia bipunctata,1916,1
Adalia bipunctata,1919,1
Adalia bipunctata,1920,2
Adalia bipunctata,1922,3
Adalia bipunctata,1923,2
Adalia bipunctata,1924,2
Adalia bipunctata,1925,2
Adalia bipunctata,1928,1
Adalia bipunctata,1929,1
Adalia bipunctata,1931,1
Adalia bipunctata,1932,1
Adalia bipunctata,1937,2
Adalia bipunctata,1938,2
Adalia bipunctata,1940,1
Adalia bipunctata,1941,1
Adalia bipunctata,1942,2
Adalia bipunctata,1943,3
Adalia bipunctata,1944,1
Adalia bipunctata,1945,2
Adalia bipunctata,1946,1
Adalia bipunctata,1947,1
Adalia bipunctata,1949,2
Adalia bipunctata,1950,1
Adalia bipunctata,1952,3
Adalia bipunctata,1954,1
Adalia bipunctata,1956,13
Adalia bipunctata,1957,2
Adalia bipunctata,1958,1
Adalia bipunctata,1959,1
Adalia bipunctata,1960,4
Adalia bipunctata,1963,1
Adalia bipunctata,1964,3
Adalia bipunctata,1965,3
Adalia bipunctata,1966,4
Adalia bipunctata,1967,1
Adalia bipunctata,1968,9
Adalia bipunctata,1969,1
Adalia bipunctata,1970,5
Adalia bipunctata,1971,10
Adalia bipunctata,1972,9
Adalia bipunctata,1973,21
Adalia bipunctata,1974,15
Adalia bipunctata,1975,49
Adalia bipunctata,1976,45
Adalia bipunctata,1977,79
Adalia bipunctata,1978,142
Adalia bipunctata,1979,43
Adalia bipunctata,1980,89
Adalia bipunctata,1981,53
Adalia bipunctata,1982,96
Adalia bipunctata,1983,80
Adalia bipunctata,1984,113
Adalia bipunctata,1985,119
Adalia bipunctata,1986,62
Adalia bipunctata,1987,103
Adalia bipunctata,1988,92
Adalia bipunctata,1989,253
Adalia bipunctata,1990,142
Adalia bipunctata,1991,210
Adalia bipunctata,1992,196
Adalia bipunctata,1993,251
Adalia bipunctata,1994,252
Adalia bipunctata,1995,308
Adalia bipunctata,1996,280
Adalia bipunctata,1997,223
Adalia bipunctata,1998,146
Adalia bipunctata,1999,422
Adalia bipunctata,2000,518
Adalia bipunctata,2001,1439
Adalia bipunctata,2002,1174
Adalia bipunctata,2003,1166
Adalia bipunctata,2004,1295
Adalia bipunctata,2005,2099
Adalia bipunctata,2006,1418
Adalia bipunctata,2007,1207
Adalia bipunctata,2008,454
Adalia bipunctata,2009,526
Adalia bipunctata,2010,636
Adalia bipunctata,2011,94
Adalia bipunctata,2012,31
Adalia bipunctata,2013,465
Adalia bipunctata,2014,737
Adalia bipunctata,2015,408
Adalia bipunctata,2016,479
Adalia bipunctata,2017,292
Adalia bipunctata,2018,236
Adalia bipunctata,2019,349
Adalia bipunctata,2020,488
Adalia decempunctata,1600,1
Adalia decempunctata,1848,2
Adalia decempunctata,1888,1
Adalia decempunctata,1891,2
Adalia decempunctata,1892,1
Adalia decempunctata,1894,2
Adalia decempunctata,1898,1
Adalia decempunctata,1899,1
Adalia decempunctata,1900,6
Adalia decempunctata,1901,1
Adalia decempunctata,1902,2
Adalia decempunctata,1903,3
Adalia decempunctata,1904,4
Adalia decempunctata,1905,2
Adalia decempunctata,1906,1
Adalia decempunctata,1907,2
Adalia decempunctata,1909,1
Adalia decempunctata,1911,4
Adalia decempunctata,1917,1
Adalia decempunctata,1919,1
Adalia decempunctata,1920,2
Adalia decempunctata,1922,2
Adalia decempunctata,1923,4
