taxon,year,dr736,dr695
Tytthaspis sedecimpunctata,1977,1,1
Tytthaspis sedecimpunctata,1981,1,2
Tytthaspis sedecimpunctata,1983,1,12
Tytthaspis sedecimpunctata,1984,1,28
Tytthaspis sedecimpunctata,1985,3,32
Tytthaspis sedecimpunctata,1988,1,18
Tytthaspis sedecimpunctata,1990,5,31
Tytthaspis sedecimpunctata,1993,1,11
Tytthaspis sedecimpunctata,1995,6,64
Tytthaspis sedecimpunctata,1996,4,103
Tytthaspis sedecimpunctata,1997,13,80
Tytthaspis sedecimpunctata,1998,4,89
Tytthaspis sedecimpunctata,2000,3,111
Tytthaspis sedecimpunctata,2001,1,120
Tytthaspis sedecimpunctata,2002,1,200
Tytthaspis sedecimpunctata,2003,4,112
Tytthaspis sedecimpunctata,2004,5,215
Tytthaspis sedecimpunctata,2005,3,231
Tytthaspis sedecimpunctata,2006,1,328
Tytthaspis sedecimpunctata,2007,7,246
Tytthaspis sedecimpunctata,2009,4,106
Tytthaspis sedecimpunctata,2010,4,42
Tytthaspis sedecimpunctata,2011,21,0
Tytthaspis sedecimpunctata,2012,6,0
Tytthaspis sedecimpunctata,2013,9,0
Tytthaspis sedecimpunctata,2014,49,0
Tytthaspis sedecimpunctata,2015,81,0
Tytthaspis sedecimpunctata,2016,139,0
Tytthaspis sedecimpunctata,2017,135,0
Tytthaspis sedecimpunctata,2018,192,0
Tytthaspis sedecimpunctata,2019,325,0
Tytthaspis sedecimpunctata,2020,235,0
Tytthaspis sedecimpunctata,1832,0,1
Tytthaspis sedecimpunctata,1877,0,1
Tytthaspis sedecimpunctata,1892,0,1
Tytthaspis sedecimpunctata,1904,0,2
Tytthaspis sedecimpunctata,1916,0,1
Tytthaspis sedecimpunctata,1920,0,3
Tytthaspis sedecimpunctata,1922,0,3
Tytthaspis sedecimpunctata,1923,0,1
Tytthaspis sedecimpunctata,1928,0,1
Tytthaspis sedecimpunctata,1930,0,1
Tytthaspis sedecimpunctata,1938,0,1
Tytthaspis sedecimpunctata,1940,0,1
Tytthaspis sedecimpunctata,1951,0,1
Tytthaspis sedecimpunctata,1955,0,1
Tytthaspis sedecimpunctata,1956,0,3
Tytthaspis sedecimpunctata,1960,0,7
Tytthaspis sedecimpunctata,1961,0,3
Tytthaspis sedecimpunctata,1963,0,1
Tytthaspis sedecimpunctata,1965,0,3
Tytthaspis sedecimpunctata,1968,0,2
Tytthaspis sedecimpunctata,1970,0,2
Tytthaspis sedecimpunctata,1971,0,2
Tytthaspis sedecimpunctata,1972,0,3
Tytthaspis sedecimpunctata,1973,0,1
Tytthaspis sedecimpunctata,1975,0,2
Tytthaspis sedecimpunctata,1976,0,6
Tytthaspis sedecimpunctata,1978,0,5
Tytthaspis sedecimpunctata,1979,0,3
Tytthaspis sedecimpunctata,1980,0,4
Tytthaspis sedecimpunctata,1982,0,4
Tytthaspis sedecimpunctata,1986,0,24
Tytthaspis sedecimpunctata,1987,0,30
Tytthaspis sedecimpunctata,1989,0,15
Tytthaspis sedecimpunctata,1991,0,30
Tytthaspis sedecimpunctata,1992,0,18
Tytthaspis sedecimpunctata,1994,0,13
Tytthaspis sedecimpunctata,1999,0,79
Tytthaspis sedecimpunctata,2008,0,65
Rhyzobius litura,1977,1,22
Rhyzobius litura,1978,1,25
Rhyzobius litura,1979,1,12
Rhyzobius litura,1981,4,6
Rhyzobius litura,1982,2,25
Rhyzobius litura,1983,1,41
Rhyzobius litura,1984,3,39
Rhyzobius litura,1985,8,51
Rhyzobius litura,1986,2,40
Rhyzobius litura,1987,1,39
Rhyzobius litura,1988,1,36
Rhyzobius litura,1989,1,50
Rhyzobius litura,1990,4,26
Rhyzobius litura,1991,4,64
Rhyzobius litura,1993,1,43
Rhyzobius litura,1994,1,42
Rhyzobius litura,1995,1,41
Rhyzobius litura,1996,3,53
Rhyzobius litura,1997,1,57
Rhyzobius litura,1998,3,52
Rhyzobius litura,1999,4,75
Rhyzobius litura,2000,2,113
Rhyzobius litura,2001,4,79
Rhyzobius litura,2002,9,149
Rhyzobius litura,2003,4,86
Rhyzobius litura,2004,4,86
Rhyzobius litura,2005,8,96
Rhyzobius litura,2006,9,114
Rhyzobius litura,2007,6,102
Rhyzobius litura,2008,1,76
Rhyzobius litura,2009,5,171
Rhyzobius litura,2010,9,24
