"SPECIES","TIME_PERIOD","COUNTRY","SITES","NYEARS","F_LIN_B","F_LIN_SE","F_LIN_P","F_LIN_R","F_FULL_R","F_TRENDDETAIL","FIRST_YEAR","LAST_YEAR","FIRST_YEAR_FITTED","LAST_YEAR_FITTED"
2,"1976-2021","England","All",46,-0.0149,0.00288,5.3e-06,-3.37,-79.34,"Rapid decline",1976,2021,2.34,1.66
4,"1976-2021","England","All",46,0.00207,0.00111,0.0686,0.478,24.53,"Stable",1976,2021,1.95,2.05
6,"1976-2021","England","All",43,0.00869,0.0027,0.00247,2.02,136.3,"Rapid increase",1979,2021,1.82,2.18
8,"1976-2021","England","All",46,0.0139,0.00201,1.62e-08,3.25,335.45,"Rapid increase",1976,2021,1.69,2.31
12,"1976-2021","England","All",46,0.0174,0.00238,4.14e-09,4.09,532.14,"Rapid increase",1976,2021,1.61,2.39
13,"1976-2021","England","All",44,-0.0102,0.00343,0.00472,-2.32,-64.4,"Rapid decline",1978,2021,2.22,1.78
14,"1976-2021","England","All",44,-0.013,0.00205,1.31e-07,-2.95,-73.22,"Rapid decline",1978,2021,2.28,1.72
17,"1976-2021","England","All",46,0.0128,0.00162,5.13e-10,2.99,287.77,"Rapid increase",1976,2021,1.71,2.29
18,"1976-2021","England","All",44,-0.00948,0.00181,4.87e-06,-2.16,-61.74,"Rapid decline",1978,2021,2.2,1.8
20,"1976-2021","England","All",46,0.00214,0.00234,0.365,0.494,25.44,"Stable",1976,2021,1.95,2.05
21,"1976-2021","England","All",43,-0.00876,0.00259,0.00161,-2,-58.05,"Rapid decline",1979,2021,2.18,1.82
23,"1976-2021","England","All",46,-0.0045,0.00173,0.0127,-1.03,-37.89,"Rapid decline",1976,2021,2.1,1.9
27,"1976-2021","England","All",46,0.00806,0.00414,0.0579,1.87,134.49,"Stable",1976,2021,1.82,2.18
29,"1976-2021","England","All",46,-0.0066,0.00191,0.00123,-1.51,-50.34,"Rapid decline",1976,2021,2.15,1.85
30,"1976-2021","England","All",28,0.0132,0.00846,0.132,3.09,134.46,"Stable",1994,2021,1.82,2.18
34,"1976-2021","England","All",43,0.0207,0.00874,0.0224,4.88,675.86,"Rapid increase",1979,2021,1.56,2.44
36,"1976-2021","England","All",43,-0.00129,0.00283,0.65,-0.297,-12.01,"Stable",1979,2021,2.03,1.97
42,"1976-2021","England","All",27,-0.022,0.00461,6.97e-05,-4.94,-74.54,"Rapid decline",1995,2021,2.29,1.71
46,"1976-2021","England","All",46,-7.59e-05,0.00143,0.958,-0.0175,-0.8,"Stable",1976,2021,2,2
48,"1976-2021","England","All",46,-0.00809,0.00138,5.6e-07,-1.85,-57.64,"Rapid decline",1976,2021,2.18,1.82
50,"1976-2021","England","All",40,-0.0104,0.00431,0.0203,-2.37,-61.69,"Rapid decline",1982,2021,2.2,1.8
54,"1976-2021","England","All",46,0.00236,0.0012,0.0551,0.545,28.41,"Stable",1976,2021,1.95,2.05
56,"1976-2021","England","All",43,-0.00437,0.00181,0.02,-1,-35.09,"Rapid decline",1979,2021,2.09,1.91
58,"1976-2021","England","All",43,0.0198,0.00284,1.77e-08,4.67,611.8,"Rapid increase",1979,2021,1.58,2.42
62,"1976-2021","England","All",43,-0.0173,0.00386,5.93e-05,-3.91,-82,"Rapid decline",1979,2021,2.36,1.64
64,"1976-2021","England","All",46,-0.00919,0.00213,8.82e-05,-2.09,-62.15,"Rapid decline",1976,2021,2.21,1.79
68,"1976-2021","England","All",46,-0.00388,0.00203,0.0625,-0.89,-33.72,"Stable",1976,2021,2.09,1.91
70,"1976-2021","England","All",43,0.00765,0.0032,0.0215,1.78,113.54,"Rapid increase",1979,2021,1.84,2.16
71,"1976-2021","England","All",46,7.34e-05,0.00173,0.966,0.0169,0.78,"Stable",1976,2021,2,2
73,"1976-2021","England","All",39,0.0218,0.0102,0.0389,5.15,608.86,"Rapid increase",1983,2021,1.59,2.41
75,"1976-2021","England","All",46,1.97e-05,0.000989,0.984,0.00454,0.21,"Stable",1976,2021,2,2
76,"1976-2021","England","All",46,-0.00584,0.00164,0.000884,-1.34,-46.24,"Rapid decline",1976,2021,2.13,1.87
78,"1976-2021","England","All",46,0.00537,0.00158,0.0015,1.24,76.28,"Rapid increase",1976,2021,1.88,2.12
80,"1976-2021","England","All",41,-0.0251,0.00307,5.34e-10,-5.62,-90.67,"Rapid decline",1981,2021,2.5,1.5
81,"1976-2021","England","All",33,0.0118,0.00895,0.197,2.75,144.79,"Stable",1989,2021,1.81,2.19
84,"1976-2021","England","All",46,0.000411,0.00181,0.821,0.0947,4.45,"Stable",1976,2021,1.99,2.01
88,"1976-2021","England","All",46,-0.0025,0.00155,0.114,-0.574,-23.26,"Stable",1976,2021,2.06,1.94
90,"1976-2021","England","All",45,0.00253,0.00247,0.312,0.584,29.96,"Stable",1976,2021,1.94,2.06
93,"1976-2021","England","All",46,0.00657,0.00145,4.59e-05,1.52,100.16,"Rapid increase",1976,2021,1.85,2.15
94,"1976-2021","England","All",46,-0.0203,0.00239,8.24e-11,-4.57,-88.37,"Rapid decline",1976,2021,2.46,1.54
98,"1976-2021","England","All",46,-0.00367,0.00206,0.0816,-0.842,-32.22,"Stable",1976,2021,2.08,1.92
99,"1976-2021","England","All",46,-0.00226,0.00152,0.144,-0.519,-21.29,"Stable",1976,2021,2.05,1.95
100,"1976-2021","England","All",46,-0.00116,0.00198,0.56,-0.267,-11.57,"Stable",1976,2021,2.03,1.97
102,"1976-2021","England","All",38,0.000623,0.00297,0.835,0.144,5.62,"Stable",1984,2021,1.99,2.01
104,"1976-2021","England","All",46,0.0099,0.00211,2.61e-05,2.31,185.91,"Rapid increase",1976,2021,1.78,2.22
106,"1976-2021","England","All",46,-0.0018,0.00219,0.416,-0.414,-17.37,"Stable",1976,2021,2.04,1.96
110,"1976-2021","England","All",46,-0.00593,0.00164,0.000747,-1.36,-46.74,"Rapid decline",1976,2021,2.13,1.87
112,"1976-2021","England","All",27,0.0288,0.01,0.00831,6.86,499.8,"Rapid increase",1995,2021,1.63,2.37
113,"1976-2021","England","All",46,-0.0141,0.00365,0.000359,-3.2,-77.6,"Rapid decline",1976,2021,2.32,1.68
115,"1976-2021","England","All",39,-0.000107,0.00288,0.971,-0.0246,-0.95,"Stable",1983,2021,2,2
116,"1976-2021","England","All",46,-0.00324,0.00318,0.314,-0.743,-29.04,"Stable",1976,2021,2.07,1.93
118,"1976-2021","England","All",30,-0.0201,0.00566,0.00137,-4.52,-75.03,"Rapid decline",1992,2021,2.29,1.71
119,"1976-2021","England","All",45,-0.0024,0.00276,0.39,-0.551,-22.01,"Stable",1977,2021,2.05,1.95
120,"1976-2021","England","All",46,-0.0126,0.00203,1.62e-07,-2.86,-73.68,"Rapid decline",1976,2021,2.28,1.72
122,"1976-2021","England","All",46,0.0128,0.00285,5.25e-05,2.99,287.77,"Rapid increase",1976,2021,1.71,2.29
123,"1976-2021","England","All",46,0.00641,0.00721,0.379,1.49,97.46,"Stable",1976,2021,1.86,2.15
2,"2004-2021","Northern Ireland","All",12,0.0138,0.0221,0.548,3.23,46.44,"Stable",2010,2021,1.92,2.08
4,"2004-2021","Northern Ireland","All",15,-0.00411,0.0105,0.702,-0.942,-13.24,"Stable",2007,2021,2.03,1.97
8,"2004-2021","Northern Ireland","All",16,0.0117,0.00947,0.235,2.73,53.87,"Stable",2006,2021,1.91,2.09
12,"2004-2021","Northern Ireland","All",18,0.0122,0.00876,0.184,2.85,65.84,"Stable",2004,2021,1.9,2.1
17,"2004-2021","Northern Ireland","All",18,0.158,0.12,0.206,43.9,69899.4,"Stable",2004,2021,0.66,3.34
23,"2004-2021","Northern Ireland","All",18,0.345,0.162,0.0498,121,158146888.51,"Rapid increase",2004,2021,-0.929,4.93
27,"2004-2021","Northern Ireland","All",18,0.285,0.166,0.104,92.8,13549501.8,"Stable",2004,2021,-0.426,4.43
29,"2004-2021","Northern Ireland","All",18,-0.0117,0.00806,0.166,-2.66,-38.45,"Stable",2004,2021,2.1,1.9
